"","Level_Number","Report_Number","Table_Number","Line_Number","CO","DIST","SCHL","Line_Text","NoStud5","NoHFZ5","Perc5a","Perc5b","Perc5c","NoStud7","NoHFZ7","Perc7a","Perc7b","Perc7c","NoStud9","NoHFZ9","Perc9a","Perc9b","Perc9c","ChrtNum"
"30",1,0,1,3,19,64451,6012736,"Abdominal Strength                 ",118,"102","86.4","13.6","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"31",1,0,1,4,19,64451,6012736,"Trunk Extension Strength           ",118,"89","75.4","24.6","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"32",1,0,1,5,19,64451,6012736,"Upper Body Strength                ",118,"83","70.3","29.7","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"33",1,0,1,6,19,64451,6012736,"Flexibility                        ",118,"86","72.9","27.1","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"34",1,0,1,1,19,64451,6012751,"Aerobic Capacity                   ",256,"76","29.7","69.5","0.8",NA,"0","0","0","0",NA,"0","0","0","0","0"
"35",1,0,1,2,19,64451,6012751,"Body Composition                   ",256,"163","63.7","19.5","16.8",NA,"0","0","0","0",NA,"0","0","0","0","0"
"36",1,0,1,3,19,64451,6012751,"Abdominal Strength                 ",256,"179","69.9","30.1","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"37",1,0,1,4,19,64451,6012751,"Trunk Extension Strength           ",256,"206","80.5","19.5","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"38",1,0,1,5,19,64451,6012751,"Upper Body Strength                ",256,"159","62.1","37.9","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"39",1,0,1,6,19,64451,6012751,"Flexibility                        ",256,"163","63.7","36.3","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"40",1,0,1,1,19,64451,6012785,"Aerobic Capacity                   ",102,"51","50","48","2",NA,"0","0","0","0",NA,"0","0","0","0","0"
"41",1,0,1,2,19,64451,6012785,"Body Composition                   ",102,"52","51","28.4","20.6",NA,"0","0","0","0",NA,"0","0","0","0","0"
"42",1,0,1,3,19,64451,6012785,"Abdominal Strength                 ",102,"89","87.3","12.7","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"43",1,0,1,4,19,64451,6012785,"Trunk Extension Strength           ",102,"80","78.4","21.6","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"44",1,0,1,5,19,64451,6012785,"Upper Body Strength                ",102,"59","57.8","42.2","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"45",1,0,1,6,19,64451,6012785,"Flexibility                        ",102,"62","60.8","39.2","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"46",1,0,1,1,19,64451,6012793,"Aerobic Capacity                   ",124,"33","26.6","73.4","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"47",1,0,1,2,19,64451,6012793,"Body Composition                   ",124,"75","60.5","16.1","23.4",NA,"0","0","0","0",NA,"0","0","0","0","0"
"48",1,0,1,3,19,64451,6012793,"Abdominal Strength                 ",124,"102","82.3","17.7","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"49",1,0,1,4,19,64451,6012793,"Trunk Extension Strength           ",124,"91","73.4","26.6","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"50",1,0,1,5,19,64451,6012793,"Upper Body Strength                ",124,"65","52.4","47.6","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"51",1,0,1,6,19,64451,6012793,"Flexibility                        ",124,"76","61.3","38.7","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"52",1,0,1,1,19,64451,6012801,"Aerobic Capacity                   ",107,"72","67.3","24.3","8.4",NA,"0","0","0","0",NA,"0","0","0","0","0"
"53",1,0,1,2,19,64451,6012801,"Body Composition                   ",107,"67","62.6","18.7","18.7",NA,"0","0","0","0",NA,"0","0","0","0","0"
"54",1,0,1,3,19,64451,6012801,"Abdominal Strength                 ",107,"93","86.9","13.1","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"55",1,0,1,4,19,64451,6012801,"Trunk Extension Strength           ",107,"90","84.1","15.9","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"56",1,0,1,5,19,64451,6012801,"Upper Body Strength                ",107,"46","43","57","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"57",1,0,1,6,19,64451,6012801,"Flexibility                        ",107,"71","66.4","33.6","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"58",1,0,1,1,19,64451,6012835,"Aerobic Capacity                   ",156,"70","44.9","53.2","1.9",NA,"0","0","0","0",NA,"0","0","0","0","0"
"59",1,0,1,2,19,64451,6012835,"Body Composition                   ",156,"107","68.6","14.1","17.3",NA,"0","0","0","0",NA,"0","0","0","0","0"
"60",1,0,1,3,19,64451,6012835,"Abdominal Strength                 ",156,"131","84","16","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"61",1,0,1,4,19,64451,6012835,"Trunk Extension Strength           ",156,"133","85.3","14.7","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"62",1,0,1,5,19,64451,6012835,"Upper Body Strength                ",156,"110","70.5","29.5","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"63",1,0,1,6,19,64451,6012835,"Flexibility                        ",156,"113","72.4","27.6","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"64",1,0,1,1,19,64451,6012868,"Aerobic Capacity                   ",140,"17","12.1","87.9","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"65",1,0,1,2,19,64451,6012868,"Body Composition                   ",140,"64","45.7","24.3","30",NA,"0","0","0","0",NA,"0","0","0","0","0"
"66",1,0,1,3,19,64451,6012868,"Abdominal Strength                 ",140,"119","85","15","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"67",1,0,1,4,19,64451,6012868,"Trunk Extension Strength           ",140,"114","81.4","18.6","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"68",1,0,1,5,19,64451,6012868,"Upper Body Strength                ",140,"71","50.7","49.3","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"69",1,0,1,6,19,64451,6012868,"Flexibility                        ",140,"99","70.7","29.3","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"70",1,0,1,1,19,64451,6012876,"Aerobic Capacity                   ",161,"75","46.6","51.6","1.8",NA,"0","0","0","0",NA,"0","0","0","0","0"
"71",1,0,1,2,19,64451,6012876,"Body Composition                   ",161,"85","52.8","21.1","26.1",NA,"0","0","0","0",NA,"0","0","0","0","0"
"72",1,0,1,3,19,64451,6012876,"Abdominal Strength                 ",161,"133","82.6","17.4","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"73",1,0,1,4,19,64451,6012876,"Trunk Extension Strength           ",161,"146","90.7","9.3","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"74",1,0,1,5,19,64451,6012876,"Upper Body Strength                ",161,"70","43.5","56.5","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"75",1,0,1,6,19,64451,6012876,"Flexibility                        ",161,"92","57.1","42.9","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"76",1,0,1,1,19,64451,6057616,"Aerobic Capacity                   ",NA,"0","0","0","0",458,"317","69.2","19","11.8",NA,"0","0","0","0","0"
"77",1,0,1,2,19,64451,6057616,"Body Composition                   ",NA,"0","0","0","0",458,"269","58.7","21.6","19.7",NA,"0","0","0","0","0"
"78",1,0,1,3,19,64451,6057616,"Abdominal Strength                 ",NA,"0","0","0","0",458,"435","95","5","0",NA,"0","0","0","0","0"
"79",1,0,1,4,19,64451,6057616,"Trunk Extension Strength           ",NA,"0","0","0","0",458,"428","93.4","6.6","0",NA,"0","0","0","0","0"
"80",1,0,1,5,19,64451,6057616,"Upper Body Strength                ",NA,"0","0","0","0",458,"383","83.6","16.4","0",NA,"0","0","0","0","0"
"81",1,0,1,6,19,64451,6057616,"Flexibility                        ",NA,"0","0","0","0",458,"318","69.4","30.6","0",NA,"0","0","0","0","0"
"82",1,0,1,1,19,64451,6057624,"Aerobic Capacity                   ",NA,"0","0","0","0",399,"209","52.4","36.8","10.8",NA,"0","0","0","0","0"
"83",1,0,1,2,19,64451,6057624,"Body Composition                   ",NA,"0","0","0","0",399,"225","56.4","20.8","22.8",NA,"0","0","0","0","0"
"84",1,0,1,3,19,64451,6057624,"Abdominal Strength                 ",NA,"0","0","0","0",399,"325","81.5","18.5","0",NA,"0","0","0","0","0"
"85",1,0,1,4,19,64451,6057624,"Trunk Extension Strength           ",NA,"0","0","0","0",399,"299","74.9","25.1","0",NA,"0","0","0","0","0"
"86",1,0,1,5,19,64451,6057624,"Upper Body Strength                ",NA,"0","0","0","0",399,"229","57.4","42.6","0",NA,"0","0","0","0","0"
"87",1,0,1,6,19,64451,6057624,"Flexibility                        ",NA,"0","0","0","0",399,"288","72.2","27.8","0",NA,"0","0","0","0","0"
"88",1,0,1,1,19,64451,6057632,"Aerobic Capacity                   ",NA,"0","0","0","0",404,"243","60.1","22.3","17.6",NA,"0","0","0","0","0"
"89",1,0,1,2,19,64451,6057632,"Body Composition                   ",NA,"0","0","0","0",404,"218","54","20.3","25.7",NA,"0","0","0","0","0"
"90",1,0,1,3,19,64451,6057632,"Abdominal Strength                 ",NA,"0","0","0","0",404,"296","73.3","26.7","0",NA,"0","0","0","0","0"
"91",1,0,1,4,19,64451,6057632,"Trunk Extension Strength           ",NA,"0","0","0","0",404,"399","98.8","1.2","0",NA,"0","0","0","0","0"
"92",1,0,1,5,19,64451,6057632,"Upper Body Strength                ",NA,"0","0","0","0",404,"270","66.8","33.2","0",NA,"0","0","0","0","0"
"93",1,0,1,6,19,64451,6057632,"Flexibility                        ",NA,"0","0","0","0",404,"303","75","25","0",NA,"0","0","0","0","0"
"94",1,0,1,1,1,61192,108670,"Aerobic Capacity                   ",NA,"0","0","0","0",NA,"0","0","0","0",120,"57","47.5","40","12.5","684"
"95",1,0,1,2,1,61192,108670,"Body Composition                   ",NA,"0","0","0","0",NA,"0","0","0","0",120,"69","57.5","20.8","21.7","684"
"96",1,0,1,3,1,61192,108670,"Abdominal Strength                 ",NA,"0","0","0","0",NA,"0","0","0","0",120,"107","89.2","10.8","0","684"
"97",1,0,1,4,1,61192,108670,"Trunk Extension Strength           ",NA,"0","0","0","0",NA,"0","0","0","0",120,"113","94.2","5.8","0","684"
"98",1,0,1,5,1,61192,108670,"Upper Body Strength                ",NA,"0","0","0","0",NA,"0","0","0","0",120,"100","83.3","16.7","0","684"
"99",1,0,1,6,1,61192,108670,"Flexibility                        ",NA,"0","0","0","0",NA,"0","0","0","0",120,"94","78.3","21.7","0","684"
"100",1,0,1,1,1,61192,111815,"Aerobic Capacity                   ",103,"83","80.6","18.4","1",NA,"0","0","0","0",NA,"0","0","0","0","0"
"101",1,0,1,2,1,61192,111815,"Body Composition                   ",103,"69","67","18.4","14.6",NA,"0","0","0","0",NA,"0","0","0","0","0"
"102",1,0,1,3,1,61192,111815,"Abdominal Strength                 ",103,"90","87.4","12.6","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"103",1,0,1,4,1,61192,111815,"Trunk Extension Strength           ",103,"97","94.2","5.8","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"104",1,0,1,5,1,61192,111815,"Upper Body Strength                ",103,"85","82.5","17.5","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"105",1,0,1,6,1,61192,111815,"Flexibility                        ",103,"91","88.3","11.7","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"106",1,0,1,1,1,61192,113902,"Aerobic Capacity                   ",NA,"0","0","0","0",121,"63","52.1","41.3","6.6",123,"29","23.6","73.2","3.2","836"
"107",1,0,1,2,1,61192,113902,"Body Composition                   ",NA,"0","0","0","0",121,"81","66.9","14","19.1",123,"70","56.9","24.4","18.7","836"
"108",1,0,1,3,1,61192,113902,"Abdominal Strength                 ",NA,"0","0","0","0",121,"111","91.7","8.3","0",123,"94","76.4","23.6","0","836"
"109",1,0,1,4,1,61192,113902,"Trunk Extension Strength           ",NA,"0","0","0","0",121,"100","82.6","17.4","0",123,"111","90.2","9.8","0","836"
"110",1,0,1,5,1,61192,113902,"Upper Body Strength                ",NA,"0","0","0","0",121,"88","72.7","27.3","0",123,"75","61","39","0","836"
"111",1,0,1,6,1,61192,113902,"Flexibility                        ",NA,"0","0","0","0",121,"81","66.9","33.1","0",123,"95","77.2","22.8","0","836"
"112",1,0,1,1,1,61192,119248,"Aerobic Capacity                   ",30,"22","73.3","20","6.7",24,"14","58.3","25","16.7",NA,"0","0","0","0","1067"
"113",1,0,1,2,1,61192,119248,"Body Composition                   ",30,"24","80","13.3","6.7",24,"21","87.5","12.5","0",NA,"0","0","0","0","1067"
"114",1,0,1,3,1,61192,119248,"Abdominal Strength                 ",30,"17","56.7","43.3","0",24,"12","50","50","0",NA,"0","0","0","0","1067"
"115",1,0,1,4,1,61192,119248,"Trunk Extension Strength           ",30,"21","70","30","0",24,"19","79.2","20.8","0",NA,"0","0","0","0","1067"
"116",1,0,1,5,1,61192,119248,"Upper Body Strength                ",30,"21","70","30","0",24,"11","45.8","54.2","0",NA,"0","0","0","0","1067"
"117",1,0,1,6,1,61192,119248,"Flexibility                        ",30,"25","83.3","16.7","0",24,"18","75","25","0",NA,"0","0","0","0","1067"
"118",1,0,1,1,1,61192,127696,"Aerobic Capacity                   ",65,"50","76.9","16.9","6.2",55,"48","87.3","7.3","5.4",NA,"0","0","0","0","1514"
"119",1,0,1,2,1,61192,127696,"Body Composition                   ",65,"43","66.2","21.5","12.3",55,"33","60","14.5","25.5",NA,"0","0","0","0","1514"
"120",1,0,1,3,1,61192,127696,"Abdominal Strength                 ",65,"55","84.6","15.4","0",55,"42","76.4","23.6","0",NA,"0","0","0","0","1514"
"121",1,0,1,4,1,61192,127696,"Trunk Extension Strength           ",65,"62","95.4","4.6","0",55,"51","92.7","7.3","0",NA,"0","0","0","0","1514"
"122",1,0,1,5,1,61192,127696,"Upper Body Strength                ",65,"42","64.6","35.4","0",55,"26","47.3","52.7","0",NA,"0","0","0","0","1514"
"123",1,0,1,6,1,61192,127696,"Flexibility                        ",65,"47","72.3","27.7","0",55,"39","70.9","29.1","0",NA,"0","0","0","0","1514"
"124",1,0,1,1,1,61192,127944,"Aerobic Capacity                   ",NA,"0","0","0","0",NA,"0","0","0","0",31,"16","51.6","45.2","3.2","1543"
"125",1,0,1,2,1,61192,127944,"Body Composition                   ",NA,"0","0","0","0",NA,"0","0","0","0",31,"17","54.8","29","16.2","1543"
"126",1,0,1,3,1,61192,127944,"Abdominal Strength                 ",NA,"0","0","0","0",NA,"0","0","0","0",31,"19","61.3","38.7","0","1543"
"127",1,0,1,4,1,61192,127944,"Trunk Extension Strength           ",NA,"0","0","0","0",NA,"0","0","0","0",31,"21","67.7","32.3","0","1543"
"128",1,0,1,5,1,61192,127944,"Upper Body Strength                ",NA,"0","0","0","0",NA,"0","0","0","0",31,"18","58.1","41.9","0","1543"
"129",1,0,1,6,1,61192,127944,"Flexibility                        ",NA,"0","0","0","0",NA,"0","0","0","0",31,"11","35.5","64.5","0","1543"
"130",1,0,1,1,1,61192,133629,"Aerobic Capacity                   ",NA,"0","0","0","0",NA,"0","0","0","0",368,"176","47.8","25.8","26.4","0"
"131",1,0,1,2,1,61192,133629,"Body Composition                   ",NA,"0","0","0","0",NA,"0","0","0","0",368,"181","49.2","22.3","28.5","0"
"132",1,0,1,3,1,61192,133629,"Abdominal Strength                 ",NA,"0","0","0","0",NA,"0","0","0","0",368,"196","53.3","46.7","0","0"
"133",1,0,1,4,1,61192,133629,"Trunk Extension Strength           ",NA,"0","0","0","0",NA,"0","0","0","0",368,"157","42.7","57.3","0","0"
"134",1,0,1,5,1,61192,133629,"Upper Body Strength                ",NA,"0","0","0","0",NA,"0","0","0","0",368,"161","43.8","56.2","0","0"
"135",1,0,1,6,1,61192,133629,"Flexibility                        ",NA,"0","0","0","0",NA,"0","0","0","0",368,"272","73.9","26.1","0","0"
"136",1,0,1,1,1,61192,135319,"Aerobic Capacity                   ",NA,"0","0","0","0",NA,"0","0","0","0",488,"241","49.4","29.5","21.1","0"
"137",1,0,1,2,1,61192,135319,"Body Composition                   ",NA,"0","0","0","0",NA,"0","0","0","0",488,"261","53.5","19.9","26.6","0"
"138",1,0,1,3,1,61192,135319,"Abdominal Strength                 ",NA,"0","0","0","0",NA,"0","0","0","0",488,"272","55.7","44.3","0","0"
"139",1,0,1,4,1,61192,135319,"Trunk Extension Strength           ",NA,"0","0","0","0",NA,"0","0","0","0",488,"382","78.3","21.7","0","0"
"140",1,0,1,5,1,61192,135319,"Upper Body Strength                ",NA,"0","0","0","0",NA,"0","0","0","0",488,"247","50.6","49.4","0","0"
"141",1,0,1,6,1,61192,135319,"Flexibility                        ",NA,"0","0","0","0",NA,"0","0","0","0",488,"411","84.2","15.8","0","0"
"142",1,0,1,1,1,61192,138339,"Aerobic Capacity                   ",NA,"0","0","0","0",NA,"0","0","0","0",337,"126","37.4","40.4","22.2","0"
"143",1,0,1,2,1,61192,138339,"Body Composition                   ",NA,"0","0","0","0",NA,"0","0","0","0",337,"147","43.6","27.6","28.8","0"
"144",1,0,1,3,1,61192,138339,"Abdominal Strength                 ",NA,"0","0","0","0",NA,"0","0","0","0",337,"221","65.6","34.4","0","0"
"145",1,0,1,4,1,61192,138339,"Trunk Extension Strength           ",NA,"0","0","0","0",NA,"0","0","0","0",337,"213","63.2","36.8","0","0"
"146",1,0,1,5,1,61192,138339,"Upper Body Strength                ",NA,"0","0","0","0",NA,"0","0","0","0",337,"152","45.1","54.9","0","0"
"147",1,0,1,6,1,61192,138339,"Flexibility                        ",NA,"0","0","0","0",NA,"0","0","0","0",337,"194","57.6","42.4","0","0"
"148",1,0,1,1,1,61192,6000889,"Aerobic Capacity                   ",62,"39","62.9","25.8","11.3",NA,"0","0","0","0",NA,"0","0","0","0","0"
"149",1,0,1,2,1,61192,6000889,"Body Composition                   ",62,"39","62.9","11.3","25.8",NA,"0","0","0","0",NA,"0","0","0","0","0"
"150",1,0,1,3,1,61192,6000889,"Abdominal Strength                 ",62,"53","85.5","14.5","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"151",1,0,1,4,1,61192,6000889,"Trunk Extension Strength           ",62,"27","43.5","56.5","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"152",1,0,1,5,1,61192,6000889,"Upper Body Strength                ",62,"54","87.1","12.9","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"153",1,0,1,6,1,61192,6000889,"Flexibility                        ",62,"48","77.4","22.6","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"154",1,0,1,1,1,61192,6000905,"Aerobic Capacity                   ",117,"61","52.1","35.9","12",NA,"0","0","0","0",NA,"0","0","0","0","0"
"155",1,0,1,2,1,61192,6000905,"Body Composition                   ",117,"60","51.3","17.1","31.6",NA,"0","0","0","0",NA,"0","0","0","0","0"
"156",1,0,1,3,1,61192,6000905,"Abdominal Strength                 ",117,"83","70.9","29.1","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"157",1,0,1,4,1,61192,6000905,"Trunk Extension Strength           ",117,"54","46.2","53.8","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"158",1,0,1,5,1,61192,6000905,"Upper Body Strength                ",117,"66","56.4","43.6","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"159",1,0,1,6,1,61192,6000905,"Flexibility                        ",117,"66","56.4","43.6","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"160",1,0,1,1,1,61200,6089338,"Aerobic Capacity                   ",150,"123","82","13.3","4.7",NA,"0","0","0","0",NA,"0","0","0","0","0"
"161",1,0,1,2,1,61200,6089338,"Body Composition                   ",150,"106","70.7","14.7","14.6",NA,"0","0","0","0",NA,"0","0","0","0","0"
"162",1,0,1,3,1,61200,6089338,"Abdominal Strength                 ",150,"102","68","32","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"163",1,0,1,4,1,61200,6089338,"Trunk Extension Strength           ",150,"138","92","8","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"164",1,0,1,5,1,61200,6089338,"Upper Body Strength                ",150,"108","72","28","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"165",1,0,1,6,1,61200,6089338,"Flexibility                        ",150,"119","79.3","20.7","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"166",1,0,1,1,1,61200,6097661,"Aerobic Capacity                   ",147,"126","85.7","11.6","2.7",NA,"0","0","0","0",NA,"0","0","0","0","0"
"167",1,0,1,2,1,61200,6097661,"Body Composition                   ",147,"118","80.3","13.6","6.1",NA,"0","0","0","0",NA,"0","0","0","0","0"
"168",1,0,1,3,1,61200,6097661,"Abdominal Strength                 ",147,"137","93.2","6.8","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"169",1,0,1,4,1,61200,6097661,"Trunk Extension Strength           ",147,"110","74.8","25.2","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"170",1,0,1,5,1,61200,6097661,"Upper Body Strength                ",147,"106","72.1","27.9","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"171",1,0,1,6,1,61200,6097661,"Flexibility                        ",147,"132","89.8","10.2","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"172",1,0,1,1,1,61200,6110332,"Aerobic Capacity                   ",93,"63","67.7","23.7","8.6",NA,"0","0","0","0",NA,"0","0","0","0","0"
"173",1,0,1,2,1,61200,6110332,"Body Composition                   ",93,"57","61.3","22.6","16.1",NA,"0","0","0","0",NA,"0","0","0","0","0"
"174",1,0,1,3,1,61200,6110332,"Abdominal Strength                 ",93,"86","92.5","7.5","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"175",1,0,1,4,1,61200,6110332,"Trunk Extension Strength           ",93,"50","53.8","46.2","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"176",1,0,1,5,1,61200,6110332,"Upper Body Strength                ",93,"84","90.3","9.7","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"177",1,0,1,6,1,61200,6110332,"Flexibility                        ",93,"82","88.2","11.8","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"178",1,0,1,1,1,61200,6117543,"Aerobic Capacity                   ",99,"82","82.8","15.2","2",NA,"0","0","0","0",NA,"0","0","0","0","0"
"179",1,0,1,2,1,61200,6117543,"Body Composition                   ",99,"69","69.7","18.2","12.1",NA,"0","0","0","0",NA,"0","0","0","0","0"
"180",1,0,1,3,1,61200,6117543,"Abdominal Strength                 ",99,"76","76.8","23.2","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"181",1,0,1,4,1,61200,6117543,"Trunk Extension Strength           ",99,"87","87.9","12.1","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"182",1,0,1,5,1,61200,6117543,"Upper Body Strength                ",99,"75","75.8","24.2","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"183",1,0,1,6,1,61200,6117543,"Flexibility                        ",99,"87","87.9","12.1","0",NA,"0","0","0","0",NA,"0","0","0","0","0"
"184",1,0,1,1,1,61218,6001358,"Aerobic Capacity                   ",5,"**","**","**","**",1,"**","**","**","**",NA,"0","0","0","0","0"
